id,day_id,title,video,created_at,updated_at
619,68,punches,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700504226/exercises/8_day/punches.mp4,2023-11-20 18:48:39.603982,2023-11-20 18:50:17.962800
620,68,squat_and_kick,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700504233/exercises/8_day/squat_and_kick.mp4,2023-11-20 18:48:39.605454,2023-11-20 18:50:17.965359
621,68,standing_crunch,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700504232/exercises/8_day/standing_crunch.mp4,2023-11-20 18:48:39.607028,2023-11-20 18:50:17.967822
622,68,the_windmill,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700504217/exercises/8_day/the_windmill.mp4,2023-11-20 18:48:39.608674,2023-11-20 18:50:17.969816
623,68,torso_rotation,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700504228/exercises/8_day/torso_rotation.mp4,2023-11-20 18:48:39.610263,2023-11-20 18:50:17.971730
624,68,up_up_down_down,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700504192/exercises/8_day/up_up_down_down.mp4,2023-11-20 18:48:39.611846,2023-11-20 18:50:17.973669
625,68,victory_squat,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700504228/exercises/8_day/victory_squat.mp4,2023-11-20 18:48:39.613261,2023-11-20 18:50:17.975620








