id,title,video
1,high_knee_chops_left,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499892/exercises/1_day/high_knee_chops_left.mp4
2,high_knee_chops_right,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499841/exercises/1_day/high_knee_chops_right.mp4
3,hip_swirls,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499911/exercises/1_day/hip_swirls.mp4
4,knee_raises,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499850/exercises/1_day/knee_raises.mp4
5,reach_and_squat,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499913/exercises/1_day/reach_and_squat.mp4
6,scissor_kicks,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499846/exercises/1_day/scissor_kicks.mp4
7,side_deep_squat,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499955/exercises/1_day/side_deep_squat.mp4
8,side_leg_raise_left,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499954/exercises/1_day/side_leg_raise_left.mp4
9,side_leg_raise_right,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499948/exercises/1_day/side_leg_raise_right.mp4
10,side_lunge_windmill,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499955/exercises/1_day/side_lunge_windmill.mp4
11,kick_backs,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500417/exercises/2_day/kick_backs.mp4
12,knee_push_ups,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500366/exercises/2_day/knee_push_ups.mp4
13,lateral_arm_circles,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500415/exercises/2_day/lateral_arm_circles.mp4
14,leg_lifts,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500359/exercises/2_day/leg_lifts.mp4
15,mountain_climber,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500366/exercises/2_day/mountain_climber.mp4
16,rise_and_plie,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500340/exercises/2_day/rise_and_plie.mp4
17,running_man,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500379/exercises/2_day/running_man.mp4
18,side_lunge_windmill,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500328/exercises/2_day/side_lunge_windmill.mp4
19,squat,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500334/exercises/2_day/squat.mp4
20,tricep_dips,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500331/exercises/2_day/tricep_dips.mp4
21,donkey_kicks_left,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500928/exercises/3_day/donkey_kicks_left.mp4
22,donkey_kicks_right,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500931/exercises/3_day/donkey_kicks_right.mp4
23,forward_jump,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500936/exercises/3_day/forward_jump.mp4
24,hip_swirls,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500963/exercises/3_day/hip_swirls.mp4
25,lunges,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500942/exercises/3_day/lunges.mp4
26,mountain_climber,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500924/exercises/3_day/mountain_climber.mp4
27,running_man,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500917/exercises/3_day/running_man.mp4
28,ski_hops,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500916/exercises/3_day/ski_hops.mp4
29,ski_jacks,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500932/exercises/3_day/ski_jacks.mp4
30,split_jumps,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500924/exercises/3_day/split_jumps.mp4
31,high_step_march,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700501404/exercises/4_day/high_step_march.mp4
32,high_steps_march,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700501364/exercises/4_day/high_steps_march.mp4
33,man_running,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700501363/exercises/4_day/man_running.mp4
34,punche,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700501357/exercises/4_day/punche.mp4
35,punches,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700501404/exercises/4_day/punches.mp4
36,running_man,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700501424/exercises/4_day/running_man.mp4
37,side_bends,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700501407/exercises/4_day/side_bends.mp4
38,side_deep_squats,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700501431/exercises/4_day/side_deep_squats.mp4
39,ski_hops,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700501362/exercises/4_day/ski_hops.mp4
40,the_windmill,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700501367/exercises/4_day/the_windmill.mp4
41,knee_push_ups,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700502633/exercises/5_day/knee_push_ups.mp4
42,plank,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700501932/exercises/5_day/plank.mp4
43,plank_t,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700501910/exercises/5_day/plank_t.mp4
44,swing_back,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700501908/exercises/5_day/swing_back.mp4
45,swing_backs,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700501911/exercises/5_day/swing_backs.mp4
46,t_plank,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700501933/exercises/5_day/t_plank.mp4
47,tricep_dips,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700501907/exercises/5_day/tricep_dips.mp4
48,up_and_down,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700502065/exercises/5_day/up_and_down.mp4
49,up_up_down_down,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700501913/exercises/5_day/up_up_down_down.mp4
50,walk_downs,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700501911/exercises/5_day/walk_downs.mp4
51,arm_circles,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700502794/exercises/6_day/arm_circles.mp4
52,arm_crossovers,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700502736/exercises/6_day/arm_crossovers.mp4
53,back_turns,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700502799/exercises/6_day/back_turns.mp4
54,body_extensions,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700502745/exercises/6_day/body_extensions.mp4
55,forward_jump,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700502753/exercises/6_day/forward_jump.mp4
56,hand_claps,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700502740/exercises/6_day/hand_claps.mp4
57,high_step_murch,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700502742/exercises/6_day/high_step_murch.mp4
58,hopscotch,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700502739/exercises/6_day/hopscotch.mp4
59,jumping_jacks,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700502790/exercises/6_day/jumping_jacks.mp4
60,step_jacks,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700505801/exercises/6_day/step_jacks.mp4
61,burpees,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700503375/exercises/7_day/burpees.mp4
62,forward_calf_raises,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700503330/exercises/7_day/forward_calf_raises.mp4
63,forward_jump,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700503339/exercises/7_day/forward_jump.mp4
64,hand_claps,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700503335/exercises/7_day/hand_claps.mp4
65,knee_drive,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700503326/exercises/7_day/knee_drive.mp4
66,lateral_taps,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700503327/exercises/7_day/lateral_taps.mp4
67,lunges_atbent,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700503331/exercises/7_day/lunges_atbent.mp4
68,reach_and_squat,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700503324/exercises/7_day/reach_and_squat.mp4
69,side_deep_squat,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700505914/exercises/7_day/side_deep_squat.mp4
70,ski_hops,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700505898/exercises/7_day/ski_hops.mp4
